"","answer","Relative","Foil1","Foil2","Foil3","Set","Target","vowel","voicing","place","manner","Foil1_Cons","Foil2_Cons","Foil3_Cons","Contrast1","Contrast2","Contrast3","TargetBroadManner","Foil1BroadManner","Foil2BroadManner","Foil3BroadManner","TargetARPABET","Foil1ARPABET","Foil2ARPABET","Foil3ARPABET","Relative_Easiness","Base-Ease","numVoicingFoils","numPlaceFoils","numMannerFoils","numMultiFoils"
"100","took",0.024,"look","cook","rook",15,"t","HB","voiceless","alveolar","stop","L","K","R","2Features","Place","2Features","Stop","Sonorant","Stop","Sonorant","T","L","K","R",0.089,0.764,0,1,0,2
"101","toot",1.075,"chute","coot","suit",14,"t","HB","voiceless","alveolar","stop","SH","K","S","2Features","Place","Manner","Stop","Fricative","Stop","Fricative","T","SH","K","S",1.017,1.748,0,1,1,1
"102","top",-0.39,"cop","pop","shop",10,"t","LB","voiceless","alveolar","stop","K","P","SH","Place","Place","2Features","Stop","Stop","Stop","Fricative","T","K","P","SH",-0.465,-0.646,0,2,0,1
"103","tore",-0.558,"more","pour","shore",29,"t","LB","voiceless","alveolar","stop","M","P","SH","3Features","Place","2Features","Stop","Sonorant","Stop","Fricative","T","M","P","SH",-0.488,-0.669,0,1,0,2
"104","van",-0.106,"ban","man","than",2,"v","LF","voiced","labiodental","fricative","B","M","DH","Manner","Manner","Place","Fricative","Stop","Sonorant","Fricative","V","B","M","DH",-0.364,-0.77,0,1,2,0
"105","vat",-0.502,"that","cat","sat",11,"v","LF","voiced","labiodental","fricative","DH","K","S","Place","3Features","2Features","Fricative","Fricative","Stop","Fricative","V","DH","K","S",-0.493,-0.901,0,1,0,2
"106","veal",0.494,"kneel","meal","feel",19,"v","HF","voiced","labiodental","fricative","N","M","F","2Features","Manner","Voicing","Fricative","Sonorant","Sonorant","Fricative","V","N","M","F",0.508,0.509,1,0,1,1
"107","vet",-0.408,"yet","get","net",20,"v","LF","voiced","labiodental","fricative","J","G","N","2Features","2Features","2Features","Fricative","Sonorant","Stop","Sonorant","V","Y","G","N",-0.253,-0.658,0,0,0,3
"108","wall",0.182,"ball","fall","shawl",1,"w","LB","voiced","bilabial","glide","B","F","SH","Manner","2Features","3Features","Sonorant","Stop","Fricative","Fricative","W","B","F","SH",0.36,-0.703,0,0,1,2
"109","watt",0.029,"lot","rot","yacht",28,"w","LB","voiced","bilabial","glide","L","R","J","Place","Place","Place","Sonorant","Sonorant","Sonorant","Sonorant","W","L","R","Y",-0.096,-1.167,0,3,0,0
"110","weed",-0.328,"lead","mead","need",24,"w","HF","voiced","bilabial","glide","L","M","N","Place","Manner","2Features","Sonorant","Sonorant","Sonorant","Sonorant","W","L","M","N",-0.297,-0.483,0,1,1,1
"111","wok",-0.076,"lock","rock","mock",27,"w","LB","voiced","bilabial","glide","L","R","M","Place","Place","Manner","Sonorant","Sonorant","Sonorant","Sonorant","W","L","R","M",-0.189,-1.261,0,2,1,0
"112","womb",0.185,"boom","doom","room",8,"w","HB","voiced","bilabial","glide","B","D","R","Manner","2Features","Place","Sonorant","Stop","Stop","Sonorant","W","B","D","R",0.214,0.004,0,1,1,1
"113","yacht",0.498,"watt","lot","rot",28,"j","LB","voiced","palatal","glide","W","L","R","Place","Place","Place","Sonorant","Sonorant","Sonorant","Sonorant","Y","W","L","R",0.277,-0.11,0,3,0,0
"114","yell",1.051,"tell","cell","shell",13,"j","LF","voiced","palatal","glide","T","S","SH","3Features","3Features","2Features","Sonorant","Stop","Fricative","Fricative","Y","T","S","SH",1.198,1.367,0,0,0,3
"115","yet",-0.734,"vet","get","net",20,"j","LF","voiced","palatal","glide","V","G","N","2Features","2Features","2Features","Sonorant","Fricative","Stop","Sonorant","Y","V","G","N",-0.581,-0.483,0,0,0,3
"116","yip",-0.848,"zip","lip","rip",25,"j","HF","voiced","palatal","glide","Z","L","R","2Features","Place","Place","Sonorant","Fricative","Sonorant","Sonorant","Y","Z","L","R",-0.926,-0.446,0,2,0,1
"117","zen",0.154,"ken","pen","then",21,"z","LF","voiced","alveolar","fricative","K","P","DH","3Features","3Features","Place","Fricative","Stop","Stop","Fricative","Z","K","P","DH",0.18,1.442,0,1,0,2
"118","zing",0.542,"king","ping","thing",23,"z","HF","voiced","alveolar","fricative","K","P","TH","3Features","3Features","2Features","Fricative","Stop","Stop","Fricative","Z","K","P","TH",0.737,2.387,0,0,0,3
"119","zip",-0.322,"lip","yip","rip",25,"z","HF","voiced","alveolar","fricative","L","J","R","Manner","2Features","Manner","Fricative","Sonorant","Sonorant","Sonorant","Z","L","Y","R",-0.356,1.263,0,0,2,1
"120","zit",0.148,"sit","lit","mitt",26,"z","HF","voiced","alveolar","fricative","S","L","M","voicing","Manner","2Features","Fricative","Fricative","Sonorant","Sonorant","Z","S","L","M",0.177,1.798,1,0,1,1
